src,dst,l_A,l_B,l_e,timestamp
75,16,type1,type1,edge1,2004-03-23 14:25:32
75,16,type1,type1,edge1,2004-03-23 14:33:32
75,18,type1,type1,edge1,2004-03-23 15:47:31
75,18,type1,type1,edge1,2004-03-23 15:47:56
75,16,type1,type1,edge1,2004-03-23 15:49:49
75,16,type1,type1,edge1,2004-03-23 15:51:02
75,4,type1,type1,edge1,2004-03-23 17:55:22
4,75,type1,type1,edge2,2004-03-24 12:51:12
75,4,type1,type1,edge1,2004-03-24 14:29:20
75,4,type1,type1,edge3,2004-03-24 14:37:43
4,75,type1,type1,edge1,2004-03-24 15:05:55
75,4,type1,type1,edge1,2004-03-24 15:34:57
75,21,type1,type1,edge1,2004-03-24 17:19:06
75,4,type1,type1,edge2,2004-03-24 19:38:10
75,4,type1,type1,edge2,2004-03-25 19:11:24
75,4,type1,type1,edge1,2004-03-25 19:16:10
75,4,type1,type1,edge1,2004-03-25 19:24:56
75,4,type1,type1,edge1,2004-03-25 20:38:01
75,4,type1,type1,edge1,2004-03-25 20:46:12
13,86,type1,type1,edge4,2004-07-19 21:40:09
39,22,type1,type1,edge1,2004-07-20 02:01:16
2,86,type1,type1,edge3,2004-07-20 05:11:31
95,3,type1,type1,edge1,2004-07-20 08:57:06
95,3,type1,type1,edge1,2004-07-20 08:58:22
18,47,type1,type1,edge1,2004-07-20 11:00:14
18,47,type1,type1,edge2,2004-07-20 14:45:50
46,86,type1,type1,edge4,2004-07-20 19:59:46
39,55,type1,type1,edge1,2004-07-20 21:15:05
86,10,type1,type1,edge1,2004-07-21 00:26:23
86,6,type1,type1,edge1,2004-07-21 01:17:46
10,86,type1,type1,edge2,2004-07-21 03:12:47
6,86,type1,type1,edge1,2004-07-21 03:55:04
6,86,type1,type1,edge1,2004-07-21 04:55:03
39,72,type1,type1,edge1,2004-07-21 16:04:21
18,22,type1,type1,edge1,2004-07-21 19:09:50
18,22,type1,type1,edge1,2004-07-21 19:10:21
39,75,type1,type1,edge2,2004-07-21 21:04:35
55,39,type1,type1,edge1,2004-07-21 21:08:54
55,39,type1,type1,edge1,2004-07-21 21:16:31
55,39,type1,type1,edge1,2004-07-21 21:19:46
55,39,type1,type1,edge1,2004-07-21 21:20:10
16,1,type1,type1,edge1,2004-07-21 21:26:41
16,44,type1,type1,edge1,2004-07-21 22:39:04
16,7,type1,type1,edge1,2004-07-21 22:41:30
44,16,type1,type1,edge2,2004-07-21 22:44:28
16,47,type1,type1,edge1,2004-07-22 00:22:09
83,49,type1,type1,edge4,2004-07-22 06:07:02
53,18,type1,type1,edge1,2004-07-22 06:18:45
95,3,type1,type1,edge1,2004-07-22 08:41:10
16,1,type1,type1,edge1,2004-07-22 13:09:49
16,1,type1,type1,edge1,2004-07-22 15:07:14
16,46,type1,type1,edge2,2004-07-22 16:03:14
16,46,type1,type1,edge1,2004-07-22 16:08:06
16,46,type1,type1,edge1,2004-07-22 16:08:55
83,26,type1,type1,edge2,2004-07-22 19:23:28
83,40,type1,type1,edge1,2004-07-22 22:44:26
83,26,type1,type1,edge1,2004-07-22 22:45:14
16,30,type1,type1,edge1,2004-07-22 23:01:07
39,313,type1,type2,edge2,2004-07-22 23:24:27
39,304,type1,type2,edge1,2004-07-22 23:29:30
304,39,type2,type1,edge2,2004-07-23 00:01:23
83,5,type1,type1,edge2,2004-07-23 00:03:23
83,3,type1,type1,edge1,2004-07-23 00:12:01
83,3,type1,type1,edge4,2004-07-23 01:15:16
16,46,type1,type1,edge2,2004-07-23 02:02:14
16,30,type1,type1,edge1,2004-07-23 04:13:32
39,295,type1,type2,edge2,2004-07-23 14:02:40
16,46,type1,type1,edge1,2004-07-23 17:25:27
39,295,type1,type2,edge3,2004-07-23 17:33:58
16,5,type1,type1,edge1,2004-07-23 17:34:22
16,1,type1,type1,edge2,2004-07-23 17:41:50
16,46,type1,type1,edge2,2004-07-23 18:13:03
16,32,type1,type1,edge2,2004-07-23 18:15:19
39,295,type1,type2,edge4,2004-07-23 18:39:40
83,26,type1,type1,edge2,2004-07-23 19:29:01
83,34,type1,type1,edge2,2004-07-23 19:31:05
83,4,type1,type1,edge2,2004-07-23 19:48:05
86,10,type1,type1,edge2,2004-07-23 21:15:14
1,86,type1,type1,edge2,2004-07-23 21:41:14
16,44,type1,type1,edge2,2004-07-24 00:01:49
16,46,type1,type1,edge2,2004-07-24 00:03:33
5,86,type1,type1,edge1,2004-07-24 00:39:36
5,86,type1,type1,edge2,2004-07-24 00:40:35
86,29,type1,type1,edge2,2004-07-24 00:47:35
16,44,type1,type1,edge1,2004-07-24 00:52:47
86,38,type1,type1,edge2,2004-07-24 01:01:58
16,46,type1,type1,edge2,2004-07-24 01:17:52
16,44,type1,type1,edge1,2004-07-24 01:19:25
86,2,type1,type1,edge1,2004-07-24 01:20:27
5,86,type1,type1,edge1,2004-07-24 01:59:47
86,1,type1,type1,edge1,2004-07-24 02:25:10
38,86,type1,type1,edge1,2004-07-24 02:33:47
16,46,type1,type1,edge1,2004-07-24 03:01:59
18,22,type1,type1,edge1,2004-07-24 04:02:43
10,86,type1,type1,edge1,2004-07-24 04:43:37
16,1,type1,type1,edge1,2004-07-24 05:28:38
1,16,type1,type1,edge4,2004-07-24 05:37:11
29,86,type1,type1,edge1,2004-07-24 05:52:12
86,1,type1,type1,edge1,2004-07-24 05:53:15
86,1,type1,type1,edge1,2004-07-24 05:54:18
16,37,type1,type1,edge2,2004-07-24 06:08:23
